Time,Ligtag,Client,Coordinate system,,
2025-11-07 11:00:00 +0800,3477,1,435,,
2025-11-07 11:01:00 +0800,5519,1,431,,
2025-11-07 11:02:00 +0800,3477,1,435,,
2025-11-07 11:02:00 +0800,3477,1,435,,
2025-11-07 11:02:00 +0800,3477,1,435,,
2025-11-07 11:02:00 +0800,5395,1,434,,
2025-11-07 11:03:00 +0800,733,1,86,,
2025-11-07 11:04:00 +0800,5519,1,431,,
2025-11-07 11:04:00 +0800,3477,1,435,,
2025-11-07 11:05:00 +0800,3477,1,435,,
2025-11-07 11:06:00 +0800,3477,1,435,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:06:00 +0800,5519,1,431,,
2025-11-07 11:18:00 +0800,5519,1,431,,
2025-11-07 11:23:00 +0800,5519,1,431,,
2025-11-07 11:25:00 +0800,3477,1,435,,
2025-11-07 11:33:00 +0800,5519,1,431,,
2025-11-07 11:33:00 +0800,5519,1,431,,
2025-11-07 11:39:00 +0800,5519,1,431,,
2025-11-07 11:48:00 +0800,3477,1,435,,
2025-11-07 12:06:00 +0800,733,1,86,,
2025-11-07 12:07:00 +0800,3477,1,435,,
2025-11-07 12:17:00 +0800,5519,1,431,,
2025-11-07 12:38:00 +0800,5519,1,431,,
2025-11-07 12:48:00 +0800,5519,1,431,,
2025-11-07 12:55:00 +0800,3477,1,435,,
2025-11-07 12:56:00 +0800,4680,1,436,,
2025-11-07 12:58:00 +0800,3514,1,447,,
2025-11-07 12:58:00 +0800,3514,1,447,,
2025-11-07 13:03:00 +0800,3075,1,445,,
2025-11-07 13:03:00 +0800,3075,1,445,,
2025-11-07 13:03:00 +0800,3075,1,445,,
2025-11-07 13:03:00 +0800,4952,1,444,,
2025-11-07 13:04:00 +0800,4952,1,444,,
2025-11-07 13:06:00 +0800,4952,1,444,,
2025-11-07 13:07:00 +0800,3477,1,435,,
2025-11-07 13:08:00 +0800,3477,1,435,,
2025-11-07 13:08:00 +0800,3477,1,435,,
2025-11-07 13:21:00 +0800,5519,1,431,,
2025-11-07 13:23:00 +0800,3477,1,435,,
2025-11-07 13:23:00 +0800,3477,1,435,,
2025-11-07 13:30:00 +0800,3477,1,435,,
2025-11-07 13:30:00 +0800,3477,1,435,,
2025-11-07 13:36:00 +0800,5519,1,431,,
2025-11-07 13:37:00 +0800,5519,1,431,,
2025-11-07 13:53:00 +0800,5519,1,431,,
2025-11-07 13:55:00 +0800,733,1,86,,
2025-11-07 14:03:00 +0800,3477,1,435,,
2025-11-07 14:04:00 +0800,3477,1,435,,
2025-11-07 14:09:00 +0800,5441,1,459,,
2025-11-07 14:11:00 +0800,5519,1,431,,
2025-11-07 14:13:00 +0800,5441,1,459,,
2025-11-07 14:16:00 +0800,733,1,86,,
2025-11-07 14:19:00 +0800,733,1,86,,
2025-11-07 14:20:00 +0800,733,1,86,,
2025-11-07 14:23:00 +0800,3477,1,435,,
2025-11-07 14:25:00 +0800,733,1,86,,
2025-11-07 14:36:00 +0800,5519,1,431,,
2025-11-07 14:37:00 +0800,5519,1,431,,
2025-11-07 15:00:00 +0800,5519,1,431,,
2025-11-07 15:10:00 +0800,3509,1,441,,
2025-11-07 15:12:00 +0800,5529,1,456,,
2025-11-07 15:15:00 +0800,733,1,86,,
2025-11-07 15:17:00 +0800,5519,1,431,,
2025-11-07 15:31:00 +0800,3477,1,435,,
2025-11-07 15:31:00 +0800,3477,1,435,,
2025-11-07 15:32:00 +0800,3477,1,435,,
2025-11-07 15:36:00 +0800,3477,1,435,,
2025-11-07 15:41:00 +0800,3477,1,435,,
2025-11-07 15:44:00 +0800,3477,1,435,,
2025-11-07 15:44:00 +0800,5519,1,431,,
2025-11-07 15:55:00 +0800,3477,1,435,,
2025-11-07 16:00:00 +0800,3477,1,435,,
2025-11-07 16:02:00 +0800,3477,1,435,,
2025-11-07 16:17:00 +0800,3477,1,435,,
2025-11-07 16:21:00 +0800,5519,1,431,,
2025-11-07 16:23:00 +0800,5519,1,431,,
